	M1	M10	M2	M3	M4	M5	M6	M7	M8	M9	MOC 	NEG1	M11	M12	M13	M14	M15	M16	M17	M19	M20	NEG2
K03292	0	0	0	3.018	0	0	0	0	0	0	0	0	0	0	0	6.037	0	1.509	9.033	0	0	1.509
K03292|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	3.018	0	0	0	0	0	0	0	0	0	0	0	6.037	0	1.509	9.033	0	0	1.509
K03293	0	0	0	0	2.285	0.762	3.808	0	0	0	33.459	0	0	0	0	0	0.762	0	0	0	0	0
K03293|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	0	0	0	2.285	0.762	3.808	0	0	0	33.459	0	0	0	0	0	0.762	0	0	0	0	0
K03294	0	20.123	0	0	138.455	47.208	184.933	6.192	8.513	17.025	77.303	0	8.512	0	0	2.31	22.421	0	0	0	0	0
K03294|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.31	0	0	0	0	0	0
K03294|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	20.123	0	0	138.455	47.208	184.933	6.192	8.513	17.025	77.303	0	8.512	0	0	0	22.421	0	0	0	0	0
K03297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.068	0	6.757	0	0	0	0
K03297|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26.068	0	0	0	0	0	0
K03297|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.757	0	0	0	0
K03299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.435	0	0	0	0	0	0
K03299|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.435	0	0	0	0	0	0
K03303	0	260.622	0	0	456.316	228.145	623.934	70.186	199.505	142.905	5277.175	0	120.844	0	0	0.657	141.044	0	0	0	0	2.601
K03303|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.657	0	0	0	0	0	2.601
K03303|g__Veillonella.s__Veillonella_parvula	0	260.622	0	0	456.316	228.145	623.934	70.186	199.505	142.905	5277.175	0	120.844	0	0	0	141.044	0	0	0	0	0
K03304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.57
K03304|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.57
K03305	0	107.973	0	0	521.243	98.595	768.247	44.908	39.76	62.993	549.601	0	47.069	0	0	2.626	62.91	3.94	0	0	1.313	0
K03305|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	11.189	0	6.993	1.399	0	1.399	506.022	0	0	0	0	0	4.195	0	0	0	0	0
K03305|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.626	0	3.94	0	0	1.313	0
K03305|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	107.973	0	0	510.054	98.595	761.254	43.509	39.76	61.594	43.579	0	47.069	0	0	0	58.715	0	0	0	0	0
K03306	0	5404.544	0	3.824	9052.567	3686.11	10339.917	1141.283	3816.44	2588.153	9534.091	0	2346.322	0	0	2.139	2710.109	2.225	0	0	0	12.008
K03306|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	3.824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.824
K03306|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.139	1.77	0	0	0	0	8.184
K03306|g__Veillonella.s__Veillonella_parvula	0	5404.544	0	0	9052.567	3686.11	10339.917	1141.283	3816.44	2588.153	9534.091	0	2346.322	0	0	0	2708.339	2.225	0	0	0	0
K03307	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.484	0	0	0	0	0
K03307|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.484	0	0	0	0	0
K03308	0	4.835	0	0	48.802	6.446	36.825	0	3.223	3.222	256.766	0	4.751	0	0	7.423	10.587	1.316	1.316	0	0	0
K03308|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.811	0	0	0	0	0	0
K03308|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.316	1.316	1.316	0	0	0
K03308|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.34	0	0	0	0	0
K03308|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.612	0	0	0	0	0	0
K03308|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	4.835	0	0	48.802	6.446	36.825	0	3.223	3.222	256.766	0	4.751	0	0	0	7.931	0	0	0	0	0
K03310	0	6.541	0	0	9.592	6.54	14.123	0	6.502	1.635	41.28	0	0	0	0	0	5.205	0	0	0	0	0.684
K03310|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.684
K03310|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	6.541	0	0	9.592	6.54	14.123	0	6.502	1.635	41.28	0	0	0	0	0	5.205	0	0	0	0	0
K03311	0	21.961	0	0	81.405	26.07	80.502	0	16.303	31.71	672.188	0	12.223	0	0	12.706	17.099	1.589	11.12	0	0	0
K03311|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12.706	0	1.589	11.12	0	0	0
K03311|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	21.961	0	0	81.405	26.07	80.502	0	16.303	31.71	672.188	0	12.223	0	0	0	17.099	0	0	0	0	0
K03312	0	1159.011	0	0	1986.685	995.001	2566.301	318.512	936.062	596.91	6171.15	0	527.45	0	0	0	664.953	1.742	0	0	0	0
K03312|g__Veillonella.s__Veillonella_parvula	0	1159.011	0	0	1986.685	995.001	2566.301	318.512	936.062	596.91	6171.15	0	527.45	0	0	0	664.953	1.742	0	0	0	0
K03313	0	0	0	0	0	0	1.631	0	0	0	141.839	0	0	0	0	1.345	6.415	0	1.72	0	0	0
K03313|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	0	1.631	0	0	0	141.839	0	0	0	0	0	1.631	0	0	0	0	0
K03313|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.439	0	1.72	0	0	0
K03313|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.345	1.345	0	0	0	0	0
K03314	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.357	0	0	0	0	0	0
K03314|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.357	0	0	0	0	0	0
K03315	0	397.18	0	0	688.613	259.248	933.482	73.436	359.24	186.428	629.562	0	255.164	0	0	0	347.781	0	0	0	0	0
K03315|g__Veillonella.s__Veillonella_parvula	0	397.18	0	0	688.613	259.248	933.482	73.436	359.24	186.428	629.562	0	255.164	0	0	0	347.781	0	0	0	0	0
K03316	0	0	0	0	2.695	4.043	0	1.348	0	1.348	520.375	0	0	0	0	2.869	3.668	0	0	0	0	1.298
K03316|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.652	0	0	0	0	0	0
K03316|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	2.695	4.043	0	1.348	0	1.348	520.375	0	0	0	0	0	1.347	0	0	0	0	0
K03316|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.217	1.298	0	0	0	0	1.298
K03316|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.023	0	0	0	0	0
K03319	0	6807.824	0	0	11046.825	4052.765	11938.338	1275.787	5148.75	3230.506	21858.81	0	3544.078	0	0	0	4010.987	6.904	0	0	0	0
K03319|g__Veillonella.s__Veillonella_parvula	0	6807.824	0	0	11046.825	4052.765	11938.338	1275.787	5148.75	3230.506	21858.81	0	3544.078	0	0	0	4010.987	6.904	0	0	0	0
K03320	0	0	0	0	9.753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.105	0
K03320|unclassified	0	0	0	0	9.753	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8.105	0
K03321	0	173.153	0	0	349.923	167.957	395.406	29.391	159.496	46.642	365.257	0	79.834	0	0	0	122.6	0	0	0	0	0
K03321|g__Veillonella.s__Veillonella_parvula	0	173.153	0	0	349.923	167.957	395.406	29.391	159.496	46.642	365.257	0	79.834	0	0	0	122.6	0	0	0	0	0
K03322	0	1852.618	0	3.676	3698.307	1513.498	4380.774	440.482	1300.07	1273.239	5002.959	0	972.739	0	0	1.837	1138.618	1.838	1.837	0	0	0
K03322|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	1.72	2.58	8.552	0	0	4.299	281.971	0	4.298	0	0	0	0.86	0	0	0	0	0
K03322|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	3.676	0	0	0	0	0	0	0	0	0	0	0	1.837	0	1.838	1.837	0	0	0
K03322|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	172.422	0	0	534.862	126.28	673.325	34.789	80.815	208.777	1988.91	0	61.495	0	0	0	53.405	0	0	0	0	0
K03322|g__Veillonella.s__Veillonella_parvula	0	1680.196	0	0	3161.725	1384.639	3698.897	405.693	1219.255	1060.162	2732.078	0	906.946	0	0	0	1084.353	0	0	0	0	0
K03324	0	15.333	0	0	33.611	12.927	38.767	2.548	19.251	1.957	757.766	0	6.464	0	0	0	6.527	0	0	0	0	0
K03324|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	2.484	1.242	1.242	0	0	196.149	0	1.242	0	0	0	0	0	0	0	0	0
K03324|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	15.333	0	0	33.611	10.443	37.524	1.305	19.251	1.957	561.617	0	5.222	0	0	0	6.527	0	0	0	0	0
K03325	0	0	0	0	6.156	0	0	0	8.475	0	7.36	0	0	0	0	0	0	0	0	0	0	0
K03325|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	0	0	0	0	0	7.36	0	0	0	0	0	0	0	0	0	0	0
K03325|unclassified	0	0	0	0	6.156	0	0	0	8.475	0	0	0	0	0	0	0	0	0	0	0	0	0
K03327	0	463.957	0	0	857.871	329.145	947.776	104.787	405.766	262.36	2088.848	0	229.371	0	0	1.612	258.324	1.577	0	0	0	0
K03327|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.612	0	0	0	0	0	0
K03327|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	2.372	0	0	8.704	2.371	11.897	0	1.59	2.372	166.156	0	2.377	0	0	0	3.175	0	0	0	0	0
K03327|g__Veillonella.s__Veillonella_parvula	0	454.008	0	0	813.493	319.292	894.607	104.787	404.176	259.989	1697.41	0	226.994	0	0	0	248.293	1.577	0	0	0	0
K03327|unclassified	0	7.578	0	0	35.674	7.483	41.273	0	0	0	225.283	0	0	0	0	0	6.856	0	0	0	0	0
K03331	0	0	0	0	89.434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03331|unclassified	0	0	0	0	89.434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.76	0	3.881	0
K03337|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.76	0	3.881	0
K03340	0	7997.559	0	0	12979.883	5680.028	15129.965	1775.57	5824.488	3881.443	10683.311	0	3513.668	0	0	0	4200.312	4.586	0	0	0	0
K03340|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	15	6.248	47.497	2.5	0	2.5	1691.923	0	21.248	0	0	0	3.75	0	0	0	0	0
K03340|g__Veillonella.s__Veillonella_parvula	0	7997.559	0	0	12964.883	5673.78	15082.468	1773.07	5824.488	3878.943	8991.388	0	3492.419	0	0	0	4196.562	4.586	0	0	0	0
K03346	0	44.836	0	0	299.597	65.401	359.547	18.678	31.74	38.313	823.715	0	27.101	0	0	3.744	50.248	0	0	0	0	0
K03346|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.744	0	0	0	0	0	0
K03346|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	44.836	0	0	299.597	65.401	359.547	18.678	31.74	38.313	823.715	0	27.101	0	0	0	50.248	0	0	0	0	0
K03358	0	0	0	0	9.091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03358|unclassified	0	0	0	0	9.091	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
K03366	0	49.622	0	0	314.004	63.153	142.85	9.023	43.605	18.045	20048.421	0	24.058	0	0	0	15.038	3.783	0	0	0	0
K03366|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	49.622	0	0	314.004	63.153	142.85	9.023	43.605	18.045	20048.421	0	24.058	0	0	0	15.038	0	0	0	0	0
K03366|unclassified	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.783	0	0	0	0
K03367	0	39.971	0	0	291.449	58.577	285.264	15.85	24.074	53.713	231.458	0	23.431	0	0	7.557	25.497	0	0	0	0	0
K03367|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.557	0	0	0	0	0	0
K03367|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	39.971	0	0	291.449	58.577	285.264	15.85	24.074	53.713	231.458	0	23.431	0	0	0	25.497	0	0	0	0	0
K03385	0	0	0	0	36.482	27.174	32.916	17.179	4.21	21.475	3065.262	0	14.316	0	0	3.511	12.149	0	0	0	0	0
K03385|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.511	0	0	0	0	0	0
K03385|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	36.482	27.174	32.916	17.179	0	21.475	3065.262	0	14.316	0	0	0	12.149	0	0	0	0	0
K03385|unclassified	0	0	0	0	0	0	0	0	4.21	0	0	0	0	0	0	0	0	0	0	0	0	0
K03386	3.005	22.214	22.274	8.279	64.275	0	52.099	0	30.962	0	8.126	20.317	8.14	0	0	0	0	0	11.269	0	0	8.383
K03386|unclassified	3.005	22.214	22.274	8.279	64.275	0	52.099	0	30.962	0	8.126	20.317	8.14	0	0	0	0	0	11.269	0	0	8.383
K03387	0	0	0	2.712	5.502	6.877	8.253	3.439	0	2.751	338.693	0	2.063	0	0	6.778	4.126	0	1.356	0	0	0
K03387|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	5.502	6.877	8.253	3.439	0	2.751	338.693	0	2.063	0	0	0	4.126	0	0	0	0	0
K03387|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	2.712	0	0	0	0	0	0	0	0	0	0	0	6.778	0	0	1.356	0	0	0
K03394	0	6322.446	0	0	8578.378	3495.379	12179.01	1326.007	4308.496	2546.537	1476.601	0	2780.799	0	0	1.524	3082.04	3.289	0	0	0	0
K03394|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.524	0	0	0	0	0	0
K03394|g__Veillonella.s__Veillonella_parvula	0	6322.446	0	0	8578.378	3495.379	12179.01	1326.007	4308.496	2546.537	1476.601	0	2780.799	0	0	0	3082.04	3.289	0	0	0	0
K03402	0	11533.656	0	0	21091.931	9465.464	24710.86	3033.684	8782.135	5165.295	35786.132	0	4905.391	0	0	0	5856.455	0	0	0	0	0
K03402|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0	0	4.914	4.914	0	0	368.998	0	4.896	0	0	0	4.914	0	0	0	0	0
K03402|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	33.133	0	0	497.26	67.046	386.757	32.164	31.943	37.724	1174.697	0	35.103	0	0	0	50.024	0	0	0	0	0
K03402|g__Veillonella.s__Veillonella_parvula	0	11500.524	0	0	20594.671	9398.417	24319.189	2996.606	8750.192	5127.57	34242.437	0	4865.392	0	0	0	5801.517	0	0	0	0	0
K03403	0	7.636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.333	0	0	0	0	0
K03403|unclassified	0	7.636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6.333	0	0	0	0	0
K03404	0	14.611	0	0	51.657	17.741	89.186	5.219	31.824	5.219	36.489	0	7.811	0	0	0	11.48	0	0	0	0	0
K03404|g__Veillonella.s__Veillonella_parvula	0	14.611	0	0	51.657	17.741	89.186	5.219	31.824	5.219	36.489	0	7.811	0	0	0	11.48	0	0	0	0	0
K03405	12.536	30.462	15.91	16.904	123.714	40.964	94.054	5.139	27.523	3.614	62.464	0	17.578	4.288	3.81	36.362	43.832	12.698	20.068	0	13.308	11.547
K03405|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.51	0	0	10.14	0	0	0
K03405|g__Veillonella.s__Veillonella_parvula	0	9.636	0	0	104.65	40.964	80.714	2.41	18.069	3.614	62.464	0	13.252	0	0	0	17.982	0	0	0	0	0
K03405|unclassified	12.536	20.826	15.91	16.904	19.063	0	13.34	2.729	9.454	0	0	0	4.326	4.288	3.81	31.852	25.85	12.698	9.927	0	13.308	11.547
K03416	0	0	0	0.717	0	0	0	0	0	0	0	0	0	0	0	1.435	2.152	3.586	2.153	0	0	2.152
K03416|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0.717	0	0	0	0	0	0	0	0	0	0	0	1.435	2.152	3.586	2.153	0	0	2.152
K03424	0	26.651	0	0	145.139	34.039	154.901	1.484	8.902	13.351	892.455	0	15.974	0	0	7.257	10.218	0	0	0	0	2.053
K03424|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.257	0	0	0	0	0	0
K03424|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	2.793	1.403	12.576	0	0	0	135.123	0	5.592	0	0	0	2.799	0	0	0	0	0
K03424|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.053
K03424|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	26.651	0	0	142.346	32.637	142.325	1.484	8.902	13.351	757.332	0	10.381	0	0	0	7.418	0	0	0	0	0
K03426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.245	3.736	0	0	0	0	0
K03426|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.245	3.736	0	0	0	0	0
K03427	0	1256.486	0	0	2678.084	974.94	2992.185	301.917	867.286	592.632	1802.074	0	676.268	0	0	3.329	693.085	0	0	0	0	0
K03427|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	0.634	0	1.268	0	0	1.268	143.383	0	0	0	0	0	1.268	0	0	0	0	0
K03427|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.329	0	0	0	0	0	0
K03427|g__Veillonella.s__Veillonella_parvula	0	1256.486	0	0	2677.45	974.94	2990.917	301.917	867.286	591.364	1638.536	0	676.268	0	0	0	691.817	0	0	0	0	0
K03427|unclassified	0	0	0	0	0	0	0	0	0	0	20.155	0	0	0	0	0	0	0	0	0	0	0
K03431	0	31.922	0	0	171.51	21.519	172.168	3.99	23.091	20.729	863.583	0	19.95	0	0	2.382	28.73	0	3.192	0	0	1.589
K03431|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.192	0	0	0
K03431|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.382	0	0	0	0	0	1.589
K03431|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	31.922	0	0	171.51	21.519	172.168	3.99	23.091	20.729	863.583	0	19.95	0	0	0	28.73	0	0	0	0	0
K03432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.721	0	0	0	0	0
K03432|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.721	0	0	0	0	0
K03436	0	0	0	0	6.24	3.12	9.243	0	6.138	3.118	87.342	0	4.68	0	0	3.021	3.115	3.019	0	0	0	9.061
K03436|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.021	0	3.019	0	0	0	9.061
K03436|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	0	0	0	6.24	3.12	9.243	0	6.138	3.118	87.342	0	4.68	0	0	0	3.115	0	0	0	0	0
K03437	0	1771.525	0	0	3285.765	1345.228	4029.62	426.979	1254.876	818.622	2363.077	0	855.107	0	0	10.263	948.746	1.439	6.983	0	0	0
K03437|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7.143	1.397	0	6.983	0	0	0
K03437|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.12	0	0	0	0	0	0
K03437|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	37.518	0	0	247.13	51.709	246.942	18.795	25.035	32.833	359.118	0	14.038	0	0	0	23.401	0	0	0	0	0
K03437|g__Veillonella.s__Veillonella_parvula	0	1734.007	0	0	3038.635	1293.519	3782.678	408.184	1229.841	785.789	2003.959	0	841.068	0	0	0	923.949	1.439	0	0	0	0
K03438	0	898.24	0	0	1788.372	698.315	2544.176	224.536	551.323	371.796	1536.779	0	463.974	0	0	4.279	528.382	0	4.376	0	0	0
K03438|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	2.367	0	0	0	0	0	202.07	0	0	0	0	0	2.365	0	0	0	0	0
K03438|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.279	0	0	4.376	0	0	0
K03438|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	78.73	0	0	407.582	107.952	434.914	42.31	45.82	57.499	818.95	0	53.794	0	0	0	64.55	0	0	0	0	0
K03438|g__Veillonella.s__Veillonella_parvula	0	819.51	0	0	1378.423	590.363	2109.262	182.226	505.502	314.298	515.76	0	410.18	0	0	0	461.467	0	0	0	0	0
K03439	0	334.912	0	3.497	776.379	349.566	1007.773	105.364	274.307	158.638	2241.955	0	226.394	0	0	14.687	276.26	0	3.497	0	0	0
K03439|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	3.497	0	0	0	0	0	0	0	0	0	0	0	3.497	0	0	3.497	0	0	0
K03439|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.191	0	0	0	0	0	0
K03439|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	26.116	0	0	208.931	39.179	100.739	0	11.194	35.427	1105.271	0	3.731	0	0	0	29.847	0	0	0	0	0
K03439|g__Veillonella.s__Veillonella_parvula	0	308.796	0	0	567.448	310.387	907.034	105.364	263.113	123.211	1136.684	0	222.663	0	0	0	246.413	0	0	0	0	0
K03442	0	561.725	0	2.637	801.544	336.709	1178.103	120.477	344.536	253.803	1176.449	0	272.684	0	0	9.375	372.53	0	2.637	0	2.639	0
K03442|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	2.637	0	0	0	0	0	0	0	0	0	0	0	5.277	0	0	2.637	0	2.639	0
K03442|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.098	0	0	0	0	0	0
K03442|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	26.021	0	0	132.101	21.683	162.552	4.338	4.338	6.503	332.815	0	4.334	0	0	0	6.503	0	0	0	0	0
K03442|g__Veillonella.s__Veillonella_parvula	0	535.704	0	0	669.444	315.026	1015.551	116.138	340.197	247.3	843.634	0	268.35	0	0	0	366.027	0	0	0	0	0
K03453	0	783.001	0	0	1366.082	555.388	1715.962	261.61	616.158	280.524	1471.595	0	424.222	0	0	4.802	440.844	2.392	0	0	0	0
K03453|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.802	0	0	0	0	0	0
K03453|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	6.857	10.283	15.984	3.429	0	3.429	720.392	0	0	0	0	0	0	0	0	0	0	0
K03453|g__Veillonella.s__Veillonella_parvula	0	783.001	0	0	1359.224	545.105	1699.978	258.181	616.158	277.096	751.203	0	424.222	0	0	0	440.844	2.392	0	0	0	0
K03466	0	724.578	0	0.882	1128.162	419.524	1448.752	140.991	532.829	363.564	1031.752	0	438.355	0	0	12.115	507.564	0	0.882	0	0	3.541
K03466|g__Haemophilus.s__Haemophilus_parainfluenzae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.602	0	0	0	0	0	0
K03466|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0.882	0	0	0	0	0	0	0	0	0	0	0	5.293	1.323	0	0.882	0	0	0.882
K03466|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.22	0.646	0	0	0	0	2.659
K03466|g__Veillonella.s__Veillonella_parvula	0	724.578	0	0	1128.162	419.524	1448.752	140.991	532.829	363.564	1031.752	0	438.355	0	0	0	505.594	0	0	0	0	0
K03469	0	645.84	0	0	1153.682	448.399	1480.279	101.881	520.995	306.111	836.958	0	368.447	0	0	0	434.812	0	3.645	0	0	1.513
K03469|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2.491	0	3.645	0	0	0
K03469|g__Rothia.s__Rothia_mucilaginosa	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.513
K03469|g__Veillonella.s__Veillonella_parvula	0	645.84	0	0	1153.682	448.399	1480.279	101.881	520.995	306.111	836.958	0	368.447	0	0	0	432.322	0	0	0	0	0
K03470	0	39.691	0	0	193.61	74.076	242.353	12.798	16.174	21.923	3121.571	0	16.039	0	0	5.88	23.527	0	5.825	0	0	0
K03470|g__Prevotella.s__Prevotella_melaninogenica	0	0	0	0	3.976	7.952	0	3.976	0	0	37.552	0	0	0	0	0	0	0	0	0	0	0
K03470|g__Propionibacterium.s__Propionibacterium_acnes	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.825	0	0	0
K03470|g__Streptococcus.s__Streptococcus_infantis	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5.88	0	0	0	0	0	0
K03470|g__Streptococcus.s__Streptococcus_mitis_oralis_pneumoniae	0	39.691	0	0	189.633	66.123	242.353	8.821	16.174	21.923	3076.78	0	16.039	0	0	0	23.527	0	0	0	0	0
K03470|unclassified	0	0	0	0	0	0	0	0	0	0	7.24	0	0	0	0	0	0	0	0	0	0	0
